id,comment
0,🌈放送情報🌈 『ラブライブ！#虹ヶ咲 学園スクールアイドル同好会』 TVアニメ2期第12話「エール！」、ただいま放送スタート！ 一緒に盛り上がりましょう🎉 Bch：https://t.co/qbDjdr5Q5J LINE LIVE：https://t.co/Mt7z8IahxA YouTubeLIVE：https://t.co/KY3bEZHreF
1,＼全壊の虹ヶ咲学園スクールアイドル同好会／
2,12月（6月）　
3,腕組×2
4,もう12月。3年生の進学はどうなってるんだ。
5,
6,ダメー
7,紫苑女学院！！！！
8,クリスマスは遥ちゃんのラブライブ！の予選と被るからNG。
9,ランジュのパフォーマンスに魅了されちゃったみたいー
10,いた
11,ランジュ臍
12,冬でもへそ出しランジュちゃんはぁはぁ。
13,へそ
14,さんせー！☆
15,相変わらずラブライブは12/25にやってるのね……
16,相変わらず自己肯定感の高い喋り方だなランジュ・・・
17,その日はコミケや！
18,なかす！！！！！♡
19,かすみん！
20,ｲﾐﾜｶﾝﾅｲ!
21,んなっ！
22,ん
23,ぽむさん
24,んー？？
25,彼方ちゃんが気が付きます～～～？？？？？？
26,水没定期
27,アニメでもカウントダウンライブ！
28,な、なんだ幼馴染が不穏な… 二人の特別な日か何か…？
29,タイトルロゴがドーン！
30,ラブライブ予選クリスマスなのずっと伝統なんやな　
31,
32,なんて正確なエクシア！
33,Dream on!! 夢と夢 響く Melody! どこまでも広がっていくよ（お前のもとに吹く？ 強く強くBlowin’ up）どんな初めても 一緒ならね 咲いてくよ Smile! 今 高く（そこ限界? 精一杯 生きていると言えるなら）うつむくなよ（顔を上げろ）どこまででも（曲げることなく）信じた道を行け
34,OPテーマ
35,提供
36,第12話「エール！」
37,お手伝いさせてほしいです！
38,ケツ ‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍
39,せつ菜ちゃん！
40,限界オタク副会長ｗｗｗｗｗｗｗｗｗ
41,やｋｋ熱心なせつ菜ファンの副会長
42,指ぴーん
43,うっま！
44,ランジュのへそ！
45,新しい3人のクッキーもあるやんけ
46,新規加入組分のクッキー焼いてくれてるの優しい
47,この学校どの同好会もクオリティ高すぎんよ
48,かわいい
49,クッキー可愛い！食べるのがもったいないくらい
50,副会長が出てくるだけで笑えてくる
51,任せてください！
52,関東作曲コンクール
53,
54,うーん？
55,あっ
56,近江遥ちゃんきたーっ！！！！！！！
57,このえ姉妹
58,えーで妹ちゃんｷﾀ━━━(ﾟ∀ﾟ)━━━!! ‍‍‍‍‍‍‍‍
59,ひつじのコップ
60,流しそうめん同好会 こけし同好会 焼菓子同好会←NEW!!
61,配信楽しみだよー
62,だからこそ
63,
64,彼方ちゃんが気付くのは流石と言うべきか
65,遥ちゃん、かなりプレッシャーとかやばそう…
66,こ　ん　な　と　こ　ろに呼び出されて ‍‍‍‍‍‍‍‍
67,特訓するからに決まってるじゃない ‍
68,おへそがえっちすぎる
69,彼方ちゃん、配信はプロジェクターで鑑賞するんですよね？( ‘ω’ )
70,挑戦してい見たいわ
71,私にそれができるかは…
72,ん…？
73,１６歳の学生
74,自分もスクールアイドルになりたいって
75,大好きペア♡
76,ニジガク世界だと歩夢が人気なんだろうなぁ
77,副会長がせつ菜ちゃん呼び…アイドルモードだからか。
78,わたしを見て
79,私を見てこんな風に思ってくれた人がいるんだ
80,fell in love with を「ときめいてしまいました」って訳すんだなー
81,あああ
82,留学
83,ロンドンが引っ越してきそう
84,歩夢ちゃん…もしかして留学するのか？
85,音楽科のクラスメートもたくさん参加するみたいなんですよね
86,バチバチの海外からのファンメッセージすごい
87,異常髪色ガールズ
88,日笠先生
89,ああ…スクールアイドルの輪が世界中に拡がっていく😭
90,かわいい
91,歩夢ちゃんロンドンへ留学しちゃうの？
92,すぐ気づくじゃん
93,ロンドン留学… また飛行機( ･8･ )先輩の出番か？
94,何だこの梨子とことりが混ざった様な展開は。
95,なんで（食い気味）
96,ただヤリたい
97,あっ、そっかぁ。。。 ‍‍‍‍‍‍‍‍
98,歩夢ちゃんが留学するパターンなのか？
99,ただヤってみたい(意味深
100,本気のみんなが集まる場所じゃん？
101,そうかもね
102,海外勢
103,コンクールへ挑戦するための気持ちの強さの問題か　
104,スクールアイドルの海外挑戦…
105,気持ちがゆれてるので脚がゆれてる
106,マジで言ってんのか・・・　
107,おや 勝ってしまって構わんのだろうー 歩夢なの？・。・？ それで悩んでそう…
108,カジュアル勢とガチ勢、みたいな話？
109,一方
110,海外によるスクールアイドルの情勢 　
111,（アイドルアニメは海外では人気ないからなぁ）
112,日本のような部活動がある国は珍しいと聞いたことがあるな
113,エマちゃんって元々アイドル目的なの？
114,そういえば海外の女3人もいるんだったな・・・
115,夕焼け
116,そっかぁ、アイドルアニメという概念そのものが理解されない国もあるんだよなぁ・・・
117,ごめん！
118,ﾋﾟﾋﾟｯ
119,
120,でかい
121,意外にもうまいなｗｗｗｗ ‍‍‍‍‍‍‍‍
122,彼方ちゃん、気合い入りすぎじゃね？w
123,彼方ちゃん、もしかしてやべー子？
124,何してんねん
125,何してんの！ねえ！
126,最近何か考え事してるよねー？
127,あかりん「最近考え事してるよね～」
128,ポニテ好き
129,挑戦してみたい気持ちもあるんです
130,ポニテのかなたちゃんかわいすぎん
131,挑戦してみたい気持ちもある…
132,あっ
133,彼方ちゃんのポニテは健康にいい
134,また押し倒されるぞ
135,まあ物理的にも押し（倒し）たしね
136,我慢しとくねー
137,ありがとうございました～
138,彼方ちゃんが良い味出してるよなぁ
139,あのうえはら、めんどくさいからなぁ
140,ゆうかな やっぱり頼りになるなぁ彼方ちゃん
141,入れ替わりで来るな
142,ブルーシートの外に墨と筆置いてたら意味ないぞ
143,立て続けに来た
144,彼方相談室に続々と現れる相談希望者。
145,彼方ちゃんのこういう表情が好きで
146,あかりんのお姉さん味が楽しめる後半パートになりそう
147,もう直接二人で話して良いんじゃないかなってなるやつｗ
148,やっぱ彼方ちゃんはお姉さんの3年生なんだぜ
149,ボッタボタ垂れそうだけど
150,2週間…どこかの美晴ちゃんよりも短いかな？
151,同じじゃないから
152,相談係
153,2週間離れられないって相当依存してるな・・
154,やっぱり留学なのか・・・まぁ短期だけど
155,みなさん目のつけどころがシャープ
156,おなじ場所にいられなくなる
157,袴かわいい
158,良かったけど難題カモ
159,う、うん
160,アドバイスを保留って冷静になんやねんこいつってなるでしょ
161,こういう時に頼られる彼方さんなんだよな
162,それ持って帰るのか…
163,持ち帰りｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
164,やっぱりニジガクはゆうぽむが話の軸になるんだなぁ　
165,見つけた！
166,これはあげないよ？
167,これはあげないよｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
168,
169,彼方ちゃんには荷が重い相談内容やな…
170,
171,もう彼方ちゃんカウンセラー目指そう
172,完全に相談窓口になってるわね？？？？？
173,彼方ちゃん独り言言っても。。。
174,かわいい
175,スクールアイドルって最高ですよね！！
176,うんうん！分かる！
177,なんと！
178,座席3つ分のデカさ
179,や、そういえば彼方ちゃんその巨大半紙はどこで調達したの
180,どうしよう！
181,そっちから食いついていくのか…
182,ビックサイトみたいなところで大晦日に祭りをやったらそれはもう冬コミなんだよ
183,あかりん「そうしたいって思ってたんだ～」
184,学生証でドリンクかえるの！！！！
185,なるほど〜〜〜まずは応援するのね
186,けつ
187,ありがとーう
188,ラブライブ！は遊びじゃないからね……
189,みえ ‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍
190,クソデカ書道の引き取り先見つかってよかったね
191,無観客でも応援したい(世知辛い)
192,順番未定
193,こんな事もあろうかと枠
194,スクールアイドルみんなで応援プロジェクトスタートです！
195,ラブライブを戦う者たちへのエール、その作戦とは・・・・・・
196,みんなで応援プロジェクト
197,ていうか、短期留学なのに長らく離れ離れになるようなテンション出してくる歩夢、だいぶ限界だな
198,タンクトップえっち　
199,ふむ…
200,ﾉｼ
201,ミニスカモブ
202,アイコンタクト
203,クソレズアイコンタクト
204,国際フォーラム
205,こちらも勝負時…
206,緊張
207,
208,( ﾟдﾟ)ﾊｯ!
209,URL適当すぎる
210,こういう形で『ラブライブ』と関わるのか
211,メアド知ってるんだ
212,じ～～～～～
213,スクールアイドル応援プロジェクト!? ライブ前にキャストさんにやりたい なぁ
214,そういうクリスも脚震えてるよ。（テニミュ）
215,みんなー！
